filename,tempo,energy,brightness,key,scale,dissonance,entropy,danceability,chord_strength,bpm
"Minnie,_Vol._3_Kidd_Voodoo",97.9492263794,0.975181400776,1061.51037598,"{'strength': 0.59050565958, 'key': 'Bb', 'scale': 'major'}",,0.436111062765,7.48907804489,2.45585370064,0.482067525387,97.9492263794
Min_Bror_Donya,124.519126892,0.982158243656,1422.24377441,"{'strength': 0.609940588474, 'key': 'B', 'scale': 'minor'}",,0.457171827555,7.76291799545,2.16889023781,0.513233244419,124.519126892
Miss_Luxury_YZERR,132.242782593,0.92343378067,1866.98571777,"{'strength': 0.604906380177, 'key': 'G', 'scale': 'minor'}",,0.462180048227,7.74849843979,1.15853524208,0.477862864733,132.242782593
Miss_possessive_Tate_McRae,107.125442505,0.97285348177,1348.96362305,"{'strength': 0.842442333698, 'key': 'D', 'scale': 'minor'}",,0.464458465576,7.69687747955,1.6085395813,0.528234839439,107.125442505
Miss_Pretty_Bayka,107.912963867,0.980584740639,793.545471191,"{'strength': 0.773897767067, 'key': 'A', 'scale': 'major'}",,0.43173366785,7.23570203781,1.35671305656,0.502734541893,107.912963867
Mi_Refe_Beéle,98.9611740112,0.957026600838,941.605102539,"{'strength': 0.64659422636, 'key': 'F', 'scale': 'major'}",,0.406630277634,6.95386075974,1.46928548813,0.458758831024,98.9611740112
Mi_Vida_Mi_Muerte_Neton_Vega,178.205871582,0.970368206501,1079.52954102,"{'strength': 0.77891254425, 'key': 'A', 'scale': 'major'}",,0.449695318937,7.60351276398,1.33570623398,0.591675937176,178.205871582
MMS_Asake,90.1991271973,0.977603018284,786.088867188,"{'strength': 0.730885267258, 'key': 'C#', 'scale': 'major'}",,0.4313583076,6.95251560211,1.38440608978,0.477644473314,90.1991271973
Mona_Lisa_Motion_ZAH1DE,108.115524292,0.952282369137,946.448181152,"{'strength': 0.610734641552, 'key': 'A', 'scale': 'minor'}",,0.449231594801,7.26285839081,1.42575097084,0.551801681519,108.115524292
Money_Teni,111.044967651,0.95180106163,864.879272461,"{'strength': 0.711251199245, 'key': 'Eb', 'scale': 'major'}",,0.420896649361,7.06602430344,1.30395495892,0.52041387558,111.044967651
Mood_KeBlack,121.823379517,0.98361992836,1481.36413574,"{'strength': 0.494424253702, 'key': 'E', 'scale': 'major'}",,0.453078776598,7.69314050674,1.54807949066,0.512021422386,121.823379517
Moonlit_Floor_LISA,110.020645142,0.969644904137,1450.28442383,"{'strength': 0.591093063354, 'key': 'Eb', 'scale': 'major'}",,0.452521681786,7.71999454498,1.35812675953,0.48540982604,110.020645142
Moravo_Vesna,113.256477356,0.876580417156,1044.98266602,"{'strength': 0.624863922596, 'key': 'G', 'scale': 'minor'}",,0.389445781708,6.4770617485,0.856756210327,0.615267276764,113.256477356
Morena_Neton_Vega,178.205871582,0.970368206501,1080.18969727,"{'strength': 0.77891254425, 'key': 'A', 'scale': 'major'}",,0.449693828821,7.60349750519,1.33570623398,0.591675937176,178.205871582
